path,size_bytes,sha256
.zenodo.json,1345,2a32ff865bb22cf8138aaeb5731b27d7ecbbbbe134176c2f979a9da0c1776a59
CITATION.cff,827,4630fa19100c9b01bec6c63e13bc01377e0129d56842d7677fdbd453689e8d9b
docs/BCEC_v0_2_1_final_Kotov_Ivan_academic.pdf,156158,afa4820d364101fd9ba17d80af9ed53f6c9376e4c8a3e1609c58365b6c3f5c9c
docs/Bounded_Capability_Extraction_Clause_v0_2_1_final.md,57137,421f82cce59bf10c93b360543332cab2cba2961794d9f2345716a036b3ae064f
LICENSE.md,688,77d07c3c1a67a84bb0817256b1c78ddb36dffe6bc926c8921931ae3abcccee15
metadata/BCEC_v0_2_1_package_metadata.json,1190,4b82797b0b2eb554a5fff629139a488fb706eb060b5bfcd0164c05184aea3d82
metadata/PUBLICATION_RECORD.json,1957,c42a1712814135e391595abdfc7d389ad36df801106d7589146befc09ada6ae4
metadata/RECORD_STATUS.yaml,501,ec9869120a51690e74ebd37e48b494c8fc0154e7881fac48e365414ccc1ca099
PACKAGE_AUDIT.md,685,e9695f5f805d4c037a83be3e075722f37e2d9402642469183228826ee7f95265
README.md,3368,93b051d85541a2705c9a32a36d189e260778a90d73cc74fa77a7d48ee23fddc6
RELEASE_NOTES.md,1138,7b841dc6a0ca6b3fbcebc53fde5681054cd55a4091e83e1690d8eb55a41a774a
reviews/BCEC_v0_2_1_final_WITNESS_REVIEW_b_layer.md,13142,6a4c8cd58750dce99f4b5aa3086a1f794af7f568060aeb1b97fdaba9e33a1be5
reviews/prior/BCEC_v0_2_final_WITNESS_REVIEW_b_layer.md,15480,a7b8de2da483f5ad838e6b628306fdf0dd9f61326dcd65d63b5bf0a46c743f17
